franchise,revenue_category,revenue,year_created,original_media,creators,owners
Anpanman,라이선싱,60.025,1973,Manga,Takashi Yanase,Froebel-kan
Anpanman,영화,0.067,1973,Manga,Takashi Yanase,Froebel-kan
Avengers,VOD,0.459,1963,Comic book,Stan Lee Jack Kirby,Marvel Entertainment (The Walt Disney Company)
Avengers,라이선싱,6,1963,Comic book,Stan Lee Jack Kirby,Marvel Entertainment (The Walt Disney Company)
Avengers,만화,0.131,1963,Comic book,Stan Lee Jack Kirby,Marvel Entertainment (The Walt Disney Company)
Avengers,영화,7,1963,Comic book,Stan Lee Jack Kirby,Marvel Entertainment (The Walt Disney Company)
Barbie,VOD,1,1987[cd],Animated film,Ruth Handler,Mattel
Barbie,라이선싱,22,1987[cd],Animated film,Ruth Handler,Mattel
Barbie,영화,0.005,1987[cd],Animated film,Ruth Handler,Mattel
Batman,TV,0.34,1939,Comic book,Bob Kane Bill Finger,DC Entertainment (AT&T)
Batman,VOD,1,1939,Comic book,Bob Kane Bill Finger,DC Entertainment (AT&T)
Batman,라이선싱,21,1939,Comic book,Bob Kane Bill Finger,DC Entertainment (AT&T)
Batman,영화,6,1939,Comic book,Bob Kane Bill Finger,DC Entertainment (AT&T)
Call of Duty,게임,17,2003,Video game,Infinity Ward,Activision (Activision Blizzard)
Cars,VOD,0.654,2006,Animated film,John Lasseter,The Walt Disney Company
Cars,라이선싱,19,2006,Animated film,John Lasseter,The Walt Disney Company
Cars,영화,2,2006,Animated film,John Lasseter,The Walt Disney Company
CrossFire,게임,10,2007,Video game,Smilegate,Smilegate Tencent
Disney Princess,VOD,0.042,2000,Animated series,Andy Mooney,The Walt Disney Company
Disney Princess,라이선싱,46,2000,Animated series,Andy Mooney,The Walt Disney Company
Dora the Explorer,VOD,0.25,2000,Animated series,Chris Gifford  Valerie Walsh Eric Weiner,Nickelodeon
Dora the Explorer,라이선싱,15,2000,Animated series,Chris Gifford  Valerie Walsh Eric Weiner,Nickelodeon
Dora the Explorer,영화,0.11800000000000001,2000,Animated series,Chris Gifford  Valerie Walsh Eric Weiner,Nickelodeon
Dragon Ball,VOD,1,1984,Manga,Akira Toriyama,Akira Toriyama (Bird Studio)Shueisha (Hitotsubashi Group) (manga) Toei Animation (anime) Bandai Namco (games)
Dragon Ball,게임,5.961,1984,Manga,Akira Toriyama,Akira Toriyama (Bird Studio)Shueisha (Hitotsubashi Group) (manga) Toei Animation (anime) Bandai Namco (games)
Dragon Ball,라이선싱,5,1984,Manga,Akira Toriyama,Akira Toriyama (Bird Studio)Shueisha (Hitotsubashi Group) (manga) Toei Animation (anime) Bandai Namco (games)
Dragon Ball,만화,9,1984,Manga,Akira Toriyama,Akira Toriyama (Bird Studio)Shueisha (Hitotsubashi Group) (manga) Toei Animation (anime) Bandai Namco (games)
Dragon Ball,영화,0.8170000000000001,1984,Manga,Akira Toriyama,Akira Toriyama (Bird Studio)Shueisha (Hitotsubashi Group) (manga) Toei Animation (anime) Bandai Namco (games)
Dragon Ball,음악,0.047,1984,Manga,Akira Toriyama,Akira Toriyama (Bird Studio)Shueisha (Hitotsubashi Group) (manga) Toei Animation (anime) Bandai Namco (games)
Dragon Quest,VOD,0.006,1986,Video game,Yuji Horii Koichi Nakamura Akira Toriyama,Square Enix  Akira Toriyama (Bird Studio)  Yujii Horii (Armor Project)  Kochi Sugiyama (Sugiyama Kobo)
Dragon Quest,게임,6,1986,Video game,Yuji Horii Koichi Nakamura Akira Toriyama,Square Enix  Akira Toriyama (Bird Studio)  Yujii Horii (Armor Project)  Kochi Sugiyama (Sugiyama Kobo)
Dragon Quest,라이선싱,0.988,1986,Video game,Yuji Horii Koichi Nakamura Akira Toriyama,Square Enix  Akira Toriyama (Bird Studio)  Yujii Horii (Armor Project)  Kochi Sugiyama (Sugiyama Kobo)
Dragon Quest,만화,4.471,1986,Video game,Yuji Horii Koichi Nakamura Akira Toriyama,Square Enix  Akira Toriyama (Bird Studio)  Yujii Horii (Armor Project)  Kochi Sugiyama (Sugiyama Kobo)
Dungeon Fighter Online,게임,10,2005,Video game,Neople,Nexon Tencent
Final Fantasy,VOD,0.343,1987,Video game,Hironobu Sakaguchi Hiromichi Tanaka Nasir Gebelli,Square Enix
Final Fantasy,게임,10.014,1987,Video game,Hironobu Sakaguchi Hiromichi Tanaka Nasir Gebelli,Square Enix
Final Fantasy,라이선싱,0.41600000000000004,1987,Video game,Hironobu Sakaguchi Hiromichi Tanaka Nasir Gebelli,Square Enix
Final Fantasy,서적,0.213,1987,Video game,Hironobu Sakaguchi Hiromichi Tanaka Nasir Gebelli,Square Enix
Final Fantasy,영화,0.092,1987,Video game,Hironobu Sakaguchi Hiromichi Tanaka Nasir Gebelli,Square Enix
Final Fantasy,음악,0.121,1987,Video game,Hironobu Sakaguchi Hiromichi Tanaka Nasir Gebelli,Square Enix
Fist of the North Star,VOD,0.037,1983,Manga,Buronson Tetsuo Hara,Buronson  Tetsuo Hara  Shueisha (Hitotsubashi Group) (manga) Toei Animation (anime) Sega Sammy Holdings (games/pachinko)
Fist of the North Star,게임,17.373,1983,Manga,Buronson Tetsuo Hara,Buronson  Tetsuo Hara  Shueisha (Hitotsubashi Group) (manga) Toei Animation (anime) Sega Sammy Holdings (games/pachinko)
Fist of the North Star,라이선싱,0.026000000000000002,1983,Manga,Buronson Tetsuo Hara,Buronson  Tetsuo Hara  Shueisha (Hitotsubashi Group) (manga) Toei Animation (anime) Sega Sammy Holdings (games/pachinko)
Fist of the North Star,만화,3,1983,Manga,Buronson Tetsuo Hara,Buronson  Tetsuo Hara  Shueisha (Hitotsubashi Group) (manga) Toei Animation (anime) Sega Sammy Holdings (games/pachinko)
